,label,dice,prunning,cohort,subject_id
27,41.0,0.9625847735463461,prune_50,NC,sub-0100
28,42.0,1.0,prune_50,NC,sub-0100
29,43.0,0.9289028706252458,prune_50,NC,sub-0100
30,44.0,0.837953091684435,prune_50,NC,sub-0100
31,46.0,0.8784269042193219,prune_50,NC,sub-0100
32,47.0,0.9357121231780632,prune_50,NC,sub-0100
33,1027.0,0.8739372722726299,prune_50,NC,sub-0100
34,49.0,0.9448813821557503,prune_50,NC,sub-0100
35,50.0,0.9304778023694832,prune_50,NC,sub-0100
36,51.0,0.941292319234737,prune_50,NC,sub-0100
37,52.0,0.8671018276762402,prune_50,NC,sub-0100
38,53.0,0.9091015442208704,prune_50,NC,sub-0100
39,54.0,0.8805451630144308,prune_50,NC,sub-0100
40,58.0,0.8298722044728435,prune_50,NC,sub-0100
41,60.0,0.8627100464783697,prune_50,NC,sub-0100
42,62.0,0.011764705882352941,prune_50,NC,sub-0100
43,63.0,0.6494611457742484,prune_50,NC,sub-0100
44,1030.0,0.8802803028170996,prune_50,NC,sub-0100
45,1031.0,0.8292849035187287,prune_50,NC,sub-0100
46,72.0,1.0,prune_50,NC,sub-0100
47,77.0,0.5166757791142701,prune_50,NC,sub-0100
48,1034.0,0.841053144807411,prune_50,NC,sub-0100
49,85.0,0.00847457627118644,prune_50,NC,sub-0100
50,251.0,0.0008613264427217916,prune_50,NC,sub-0100
51,252.0,0.0016556291390728477,prune_50,NC,sub-0100
52,253.0,0.0014858841010401188,prune_50,NC,sub-0100
53,254.0,0.0016051364365971107,prune_50,NC,sub-0100
54,255.0,0.0009940357852882703,prune_50,NC,sub-0100
55,1016.0,0.8385518590998043,prune_50,NC,sub-0100
56,1000.0,0.002008032128514056,prune_50,NC,sub-0100
57,1003.0,0.8750462654526612,prune_50,NC,sub-0100
58,1015.0,0.8271444786768283,prune_50,NC,sub-0100
59,1006.0,0.770117540687161,prune_50,NC,sub-0100
60,1007.0,0.8571351584393189,prune_50,NC,sub-0100
61,2000.0,0.00205761316872428,prune_50,NC,sub-0100
62,1008.0,0.7919189734717417,prune_50,NC,sub-0100
63,2002.0,0.852389594676346,prune_50,NC,sub-0100
64,2003.0,0.856225189462288,prune_50,NC,sub-0100
65,2005.0,0.8011594917972122,prune_50,NC,sub-0100
66,2006.0,0.7818315377081293,prune_50,NC,sub-0100
67,2007.0,0.8792078302231979,prune_50,NC,sub-0100
68,2008.0,0.8542608348843392,prune_50,NC,sub-0100
