,label,dice,prunning,cohort,subject_id
42,62.0,0.04,prune_10,ET,sub-0081
43,63.0,0.7425053533190579,prune_10,ET,sub-0081
44,1030.0,0.8805672300668219,prune_10,ET,sub-0081
45,1031.0,0.8522070161912105,prune_10,ET,sub-0081
46,77.0,0.6878202142524453,prune_10,ET,sub-0081
47,80.0,0.5,prune_10,ET,sub-0081
48,1034.0,0.8538554703270085,prune_10,ET,sub-0081
49,85.0,0.007751937984496124,prune_10,ET,sub-0081
50,251.0,0.0020242914979757085,prune_10,ET,sub-0081
51,252.0,0.003355704697986577,prune_10,ET,sub-0081
52,253.0,0.003703703703703704,prune_10,ET,sub-0081
53,254.0,0.0013477088948787063,prune_10,ET,sub-0081
54,255.0,0.0017094017094017094,prune_10,ET,sub-0081
55,1016.0,0.8413431269674712,prune_10,ET,sub-0081
56,1000.0,0.0021321961620469083,prune_10,ET,sub-0081
57,1003.0,0.8455097806757558,prune_10,ET,sub-0081
58,1015.0,0.8620660057508261,prune_10,ET,sub-0081
59,1006.0,0.7480071997942916,prune_10,ET,sub-0081
60,1007.0,0.8520233891043826,prune_10,ET,sub-0081
61,2000.0,0.0019342359767891683,prune_10,ET,sub-0081
62,1008.0,0.850695391328061,prune_10,ET,sub-0081
63,2002.0,0.7684182015167931,prune_10,ET,sub-0081
64,2003.0,0.7915810170703369,prune_10,ET,sub-0081
65,2005.0,0.7881136950904393,prune_10,ET,sub-0081
66,2006.0,0.7860143316036571,prune_10,ET,sub-0081
67,2007.0,0.8481058112394518,prune_10,ET,sub-0081
68,2008.0,0.8572430337700683,prune_10,ET,sub-0081
69,2009.0,0.8488845859050386,prune_10,ET,sub-0081
70,2010.0,0.8366402116402116,prune_10,ET,sub-0081
71,2011.0,0.8387690044139284,prune_10,ET,sub-0081
72,2012.0,0.8648977862514564,prune_10,ET,sub-0081
73,2013.0,0.8713635354208306,prune_10,ET,sub-0081
74,2014.0,0.8245479030396307,prune_10,ET,sub-0081
75,2015.0,0.8787380447483446,prune_10,ET,sub-0081
76,2016.0,0.8663471778487752,prune_10,ET,sub-0081
77,2017.0,0.8052413003007304,prune_10,ET,sub-0081
78,2018.0,0.7278183292781832,prune_10,ET,sub-0081
79,2019.0,0.7415627850410459,prune_10,ET,sub-0081
80,2020.0,0.8062613430127041,prune_10,ET,sub-0081
81,2021.0,0.8237308622078968,prune_10,ET,sub-0081
82,2022.0,0.8669991687448046,prune_10,ET,sub-0081
83,2023.0,0.8075937199615508,prune_10,ET,sub-0081
84,2024.0,0.8694903870371925,prune_10,ET,sub-0081
